endTime,podcastName,episodeName,msPlayed,hourlyTime
2024-11-04 21:59:00,Mile Higher,She Was Last Seen Riding ATV with Sketchy Neighbor & Then Found Murdered... The Judy Rawlings Case,0,2024-11-04 21:00:00
2024-11-04 22:12:00,Mile Higher,She Was Last Seen Riding ATV with Sketchy Neighbor & Then Found Murdered... The Judy Rawlings Case,29203,2024-11-04 22:00:00
2024-11-04 22:12:00,Behind You,He Manipulated his Lawyer to Help him Commit Murder: Case of Tiffany Eichoch,777692,2024-11-04 22:00:00
2024-11-04 22:13:00,Hot Mess with Alix Earle,Fast Fame & Friendships (ft. Tara Yummy),14260,2024-11-04 22:00:00
2024-11-05 19:03:00,Crime Junkie,WANTED: Justice for Hassani Campbell and Tianna Kirchner from Everett,2329760,2024-11-05 19:00:00
2024-11-07 19:43:00,Crime Junkie,SERIAL KILLER: The Hillside Strangler from Los Angeles,2831077,2024-11-07 19:00:00
2024-11-07 20:49:00,Behind You,"Hired her Boyfriend to Kill Her Ex, But Ended up Just Killing Them Both: Case of Bianca Edmunds",1176960,2024-11-07 20:00:00
2024-11-11 23:24:00,Crime Junkie,MURDERED: Malvina Krutz,2879805,2024-11-11 23:00:00
2024-11-12 15:35:00,Crime Junkie,MURDERED: Malvina Krutz,455940,2024-11-12 15:00:00
2024-11-15 00:48:00,The Useless Hotline,"ArthurTV and Arthur Hill Reveal Dating Preferences, Expose Embarrassing Secrets and the Truth Behind Platform Roullette",1019980,2024-11-15 00:00:00
2024-11-15 13:34:00,The Useless Hotline,"ArthurTV and Arthur Hill Reveal Dating Preferences, Expose Embarrassing Secrets and the Truth Behind Platform Roullette",2458090,2024-11-15 13:00:00
2024-11-15 20:34:00,Crime Junkie,CAPTURED: Hammer Killer in Denver,2947996,2024-11-15 20:00:00
2024-11-15 21:17:00,Crime Junkie,MURDERED: Nathaniel Jones,2598896,2024-11-15 21:00:00
2024-11-16 16:47:00,Behind You,He Lured Men on Craigslist to his Forest of Fears: Case of Richard Beasley,152590,2024-11-16 16:00:00
2024-11-16 18:36:00,Behind You,He Lured Men on Craigslist to his Forest of Fears: Case of Richard Beasley,1120,2024-11-16 18:00:00
2024-11-18 18:18:00,Crime Junkie,MURDERED: Lyric Cook-Morrissey & Elizabeth Collins,3433374,2024-11-18 18:00:00
2024-11-20 01:05:00,Wild Times: Wildlife Education,Forrest Galante on The World's Largest Wildlife Rescue - TWT 160,30004,2024-11-20 01:00:00
2024-11-20 01:25:00,Wild Times: Wildlife Education,Forrest Galante on The World's Largest Wildlife Rescue - TWT 160,30004,2024-11-20 01:00:00
2024-11-20 02:51:00,Wild Times: Wildlife Education,Forrest Galante on The World's Largest Wildlife Rescue - TWT 160,0,2024-11-20 02:00:00
2024-11-20 02:51:00,Wild Times: Wildlife Education,Forrest Galante on The World's Largest Wildlife Rescue - TWT 160,25,2024-11-20 02:00:00
2024-11-20 02:56:00,Wild Times: Wildlife Education,Forrest Galante on The World's Largest Wildlife Rescue - TWT 160,15627,2024-11-20 02:00:00
2024-11-20 02:57:00,Wild Times: Wildlife Education,Forrest Galante on The World's Largest Wildlife Rescue - TWT 160,30004,2024-11-20 02:00:00
2024-11-20 03:22:00,Wild Times: Wildlife Education,Forrest Galante on The World's Largest Wildlife Rescue - TWT 160,30003,2024-11-20 03:00:00
2024-11-20 03:30:00,Wild Times: Wildlife Education,Forrest Galante on The World's Largest Wildlife Rescue - TWT 160,0,2024-11-20 03:00:00
2024-11-21 16:19:00,Crime Junkie,INFAMOUS: The Todt Family from Orlando,4531879,2024-11-21 16:00:00
2024-11-21 21:07:00,Behind You,Self-Help Instagram Influencer Arrested for Sex-Trafficking her followers: Kat Torrres,2206460,2024-11-21 21:00:00
2024-11-25 03:48:00,Crime Junkie,MURDERED: JonBenét Ramsey,3561670,2024-11-25 03:00:00
2024-11-25 14:15:00,Crime Junkie,MURDERED: JonBenét Ramsey,210630,2024-11-25 14:00:00
2024-11-25 19:40:00,Crime Junkie,MURDERED: JonBenét Ramsey,9150720,2024-11-25 19:00:00
2024-11-25 21:22:00,The Useless Hotline,Max & George Take A Lie Detector Test! George Spills Dating Rumours...,985330,2024-11-25 21:00:00
2024-11-26 01:12:00,The Useless Hotline,Max & George Take A Lie Detector Test! George Spills Dating Rumours...,2126781,2024-11-26 01:00:00
2024-11-26 11:31:00,Behind You,"Cops Find Missing Hiker, Only to Find out he's a Serial Killer: Case of Logan Clegg",1088320,2024-11-26 11:00:00
2024-11-26 17:46:00,Crime Junkie,MURDERED: Deanna Cook from Dallas,2675628,2024-11-26 17:00:00
2024-11-26 18:20:00,Crime Junkie,Anna Kendrick is CJAF!,1713588,2024-11-26 18:00:00
2024-11-26 18:43:00,Crime Junkie,Anna Kendrick is CJAF!,661099,2024-11-26 18:00:00
2024-11-28 19:38:00,Crime Junkie,MISSING: Brian Wehrle from Atlanta,2666474,2024-11-28 19:00:00
